formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
AgAu2BrSe3,number,1,True,False
AgAu2MnI3Se3,number,1,True,False
AgAuBr2,number,12,True,False
AgAuBr2S,number,1,True,False
AgAuBr4,number,1,True,False
AgAuBrIO2,number,6,True,False
AgAuBrIS2,number,1,True,False
AgAuCl2F3,number,1,True,False
AgAuF6,number,65,True,False
AgAuI2SSe,number,3,True,False
AgAuI4,number,111,True,False
AgAuITe,number,25,True,False
AgAuS2,number,25,True,False
AgAuSe2,number,25,True,False
AgAuTe2,number,25,True,False
AgB6C6F4S2,number,6,True,False
AgB6F4N6S2,number,6,True,False
AgB6H4N6O2,number,6,True,False
AgB6H4N6S2,number,25,True,False
AgBa2Br2O2,number,123,True,False
AgBa2Br2S2,number,123,True,False
AgBa2Br2Se2,number,38,True,False
AgBa2Br2Te2,number,38,True,False
AgBa2CdInO5,number,99,True,False
AgBa2CdInS5,number,99,True,False
AgBa2CdTlO5,number,99,True,False
AgBa2CdTlS5,number,99,True,False
AgBa2Cl2O2,number,123,True,False
AgBa2Cl2S2,number,38,True,False
AgBa2Cl2Se2,number,38,True,False
AgBa2Cl2Te2,number,38,True,False
AgBa2F2O2,number,38,True,False
AgBa2F2S2,number,38,True,False
AgBa2F2Se2,number,38,True,False
AgBa2F2Te2,number,38,True,False
AgBa2HgInO5,number,99,True,False
AgBa2HgInS5,number,99,True,False
AgBa2HgTlO5,number,99,True,False
AgBa2HgTlS5,number,99,True,False
AgBa2I2O2,number,123,True,False
AgBa2I2S2,number,123,True,False
AgBa2I2Se2,number,38,True,False
AgBa2I2Te2,number,38,True,False
AgBi2,number,47,False,True
AgBi2F12,number,2,False,True
AgBiAs2S6,number,143,True,False
AgBiAs2Se6,number,143,True,False
AgBiAs2Te6,number,143,True,False
AgBiP2S6,number,143,True,False
AgBiP2Se6,number,143,True,True
AgBiP2Te6,number,143,True,False
AgBiS6Sb2,number,143,True,False
AgBiSb2Se6,number,143,True,False
AgBiSb2Te6,number,143,True,False
AgBr,number,187,True,True
AgBr2,number,115,True,True
AgBr2,number,164,True,False
AgBr2,number,187,True,False
AgBr2F,number,47,True,False
AgBr2H,number,8,True,False
AgBr2Se,number,25,True,False
AgBr3,number,10,True,False
AgBr8Ge3,number,10,True,False
AgBrCl,number,8,True,False
AgBrClS,number,8,True,False
AgBrGeIO2,number,25,True,False
AgBrGeISe2,number,6,True,False
AgBrIS,number,8,True,False
AgBrO4,number,81,False,True
AgC12F4S2,number,6,True,False
AgC12H4O2,number,6,True,False
AgC12H4S2,number,6,True,False
AgC6F4N6O2,number,6,True,False
AgC6H4N6O2,number,6,True,False
AgC6H4N6S2,number,6,True,False
AgCNO,number,25,False,True
AgCa2Br2O2,number,123,True,False
AgCa2Br2S2,number,123,True,False
AgCa2Br2S2,number,38,True,False
AgCa2Br2Se2,number,38,True,False
AgCa2Br2Te2,number,38,True,False
AgCa2Cl2O2,number,38,True,False
AgCa2Cl2O2,number,5,True,False
AgCa2Cl2S2,number,123,True,False
AgCa2Cl2S2,number,38,True,False
AgCa2Cl2Se2,number,38,True,False
AgCa2Cl2Te2,number,38,True,False
AgCa2F2O2,number,38,True,False
AgCa2F2S2,number,38,True,False
AgCa2F2Se2,number,38,True,False
AgCa2F2Te2,number,38,True,False
AgCa2I2O2,number,123,True,False
AgCa2I2S2,number,123,True,False
AgCa2I2S2,number,38,True,False
AgCa2I2Se2,number,38,True,False
AgCa2I2Te2,number,38,True,False
AgCaBr4,number,6,True,False
AgCaBrCl,number,25,True,False
AgCaBrClO2,number,25,True,False
AgCaBrI,number,3,True,False
AgCaBrIS3,number,1,True,False
